dist_name,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp
Central,42233.18200422724,2170.7161101472016,13208.163834980985,21069.993602980525
Eastern,36198.14267277638,2581.173192229857,2997.4051724801802,28666.58860039689
Northeastern,122429.23155636653,5271.107157395901,19785.526426307293,90280.49937655337
Northern,93018.3628883914,4825.2046116188,41039.27325115123,34207.93616607412
Northwestern,70913.65224887567,3349.903284225619,14097.550704831956,50056.68618505638
Southeastern,67436.93444760567,16663.2905797317,31977.37154673567,12808.964460516278
Southern,61290.89057000654,7897.068628022716,25072.662600152056,23219.29118377559
Southwestern,62088.19393472405,2511.1056691133954,8275.295661707682,48053.10638506166
Western,30099.41914740151,657.4322044604565,842.7504587315684,27251.943669127784
